Elapsed time;MLII
2.625;0.635
2.628;0.810
2.631;0.860
2.633;0.770
2.636;0.475
2.639;0.065
2.642;-0.305
2.644;-0.500
2.647;-0.520
2.650;-0.475
2.653;-0.410
2.656;-0.390
2.658;-0.390
2.661;-0.400
2.664;-0.410
2.667;-0.405
2.669;-0.385
2.672;-0.390
2.675;-0.395
2.678;-0.405
2.681;-0.410
2.683;-0.405
2.686;-0.400
2.689;-0.390
2.692;-0.395
2.694;-0.410
2.697;-0.415
2.700;-0.410
2.703;-0.395
2.706;-0.405
2.708;-0.410
2.711;-0.405
2.714;-0.405
2.717;-0.410
2.719;-0.390
2.722;-0.385
2.725;-0.390
2.728;-0.395
2.731;-0.400
2.733;-0.400
2.736;-0.400
2.739;-0.395
2.742;-0.395
2.744;-0.405
2.747;-0.405
2.750;-0.400
2.753;-0.395
2.756;-0.385
2.758;-0.375
2.761;-0.385
2.764;-0.395
2.767;-0.390
2.769;-0.385
2.772;-0.375
2.775;-0.385
2.778;-0.395
2.781;-0.395
2.783;-0.385
2.786;-0.375
2.789;-0.375
2.792;-0.385
2.794;-0.395
2.797;-0.390
2.800;-0.390
2.803;-0.365
2.806;-0.375
2.808;-0.385
2.811;-0.395
2.814;-0.380
2.817;-0.385
2.819;-0.375
2.822;-0.380
2.825;-0.390
2.828;-0.380
2.831;-0.375
2.833;-0.375
2.836;-0.375
2.839;-0.375
2.842;-0.380
2.844;-0.390
2.847;-0.390
2.850;-0.365
2.853;-0.370
2.856;-0.375
2.858;-0.385
2.861;-0.390
2.864;-0.390
2.867;-0.375
2.869;-0.365
2.872;-0.385
2.875;-0.380
2.878;-0.390
2.881;-0.375
2.883;-0.375
2.886;-0.365
2.889;-0.370
2.892;-0.385
2.894;-0.395
2.897;-0.385
2.900;-0.385
2.903;-0.370
2.906;-0.365
2.908;-0.370
2.911;-0.375
2.914;-0.350
2.917;-0.335
2.919;-0.320
2.922;-0.315
2.925;-0.320
2.928;-0.325
2.931;-0.315
2.933;-0.295
2.936;-0.285
2.939;-0.300
2.942;-0.295
2.944;-0.285
2.947;-0.285
2.950;-0.280
2.953;-0.270
2.956;-0.280
2.958;-0.290
2.961;-0.295
2.964;-0.295
2.967;-0.290
2.969;-0.280
2.972;-0.290
2.975;-0.295
2.978;-0.310
2.981;-0.295
2.983;-0.285
2.986;-0.280
2.989;-0.275
2.992;-0.295
2.994;-0.305
2.997;-0.300
3.000;-0.295
3.003;-0.295
3.006;-0.285
3.008;-0.300
3.011;-0.305
3.014;-0.300
3.017;-0.295
3.019;-0.300
3.022;-0.305
3.025;-0.315
3.028;-0.310
3.031;-0.315
3.033;-0.295
3.036;-0.300
3.039;-0.310
3.042;-0.330
3.044;-0.340
3.047;-0.330
3.050;-0.320
3.053;-0.320
3.056;-0.315
3.058;-0.325
3.061;-0.335
3.064;-0.330
3.067;-0.315
3.069;-0.320
3.072;-0.320
3.075;-0.330
3.078;-0.345
3.081;-0.340
3.083;-0.335
3.086;-0.330
3.089;-0.335
3.092;-0.345
3.094;-0.350
3.097;-0.345
3.100;-0.340
3.103;-0.335
3.106;-0.335
3.108;-0.330
3.111;-0.335
3.114;-0.340
3.117;-0.335
3.119;-0.320
3.122;-0.340
3.125;-0.340
3.128;-0.350
3.131;-0.365
3.133;-0.360
3.136;-0.345
3.139;-0.345
3.142;-0.350
3.144;-0.350
3.147;-0.350
3.150;-0.340
3.153;-0.340
3.156;-0.345
3.158;-0.345
3.161;-0.380
3.164;-0.360
3.167;-0.360
3.169;-0.345
3.172;-0.345
3.175;-0.350
3.178;-0.355
3.181;-0.345
3.183;-0.330
3.186;-0.330
3.189;-0.335
3.192;-0.335
3.194;-0.340
3.197;-0.330
3.200;-0.320
3.203;-0.290
3.206;-0.290
3.208;-0.300
3.211;-0.305
3.214;-0.285
3.217;-0.280
3.219;-0.275
3.222;-0.280
3.225;-0.275
3.228;-0.270
3.231;-0.265
3.233;-0.250
3.236;-0.230
3.239;-0.245
3.242;-0.240
3.244;-0.255
3.247;-0.255
3.250;-0.245
3.253;-0.235
3.256;-0.255
3.258;-0.265
3.261;-0.260
3.264;-0.255
3.267;-0.270
3.269;-0.265
3.272;-0.280
3.275;-0.255
3.278;-0.250
3.281;-0.245
3.283;-0.265
3.286;-0.280
3.289;-0.300
3.292;-0.315
3.294;-0.325
3.297;-0.335
3.300;-0.345
3.303;-0.330
3.306;-0.335
3.308;-0.345
3.311;-0.360
3.314;-0.350
3.317;-0.340
3.319;-0.335
3.322;-0.345
3.325;-0.360
3.328;-0.365
3.331;-0.375
3.333;-0.370
3.336;-0.365
3.339;-0.365
3.342;-0.380
3.344;-0.375
3.347;-0.375
3.350;-0.365
3.353;-0.370
3.356;-0.360
3.358;-0.370
3.361;-0.380
3.364;-0.365
3.367;-0.360
3.369;-0.350
3.372;-0.355
3.375;-0.370
3.378;-0.385
3.381;-0.395
3.383;-0.430
3.386;-0.445
3.389;-0.485
3.392;-0.515
3.394;-0.565
3.397;-0.555
3.400;-0.475
3.403;-0.355
3.406;-0.220
3.408;-0.055
3.411;0.185
3.414;0.475
3.417;0.705
3.419;0.820
3.422;0.780
3.425;0.535
3.428;0.145
3.431;-0.200
3.433;-0.420
3.436;-0.500
3.439;-0.480
3.442;-0.450
3.444;-0.410
3.447;-0.400
3.450;-0.390
3.453;-0.390
3.456;-0.400
3.458;-0.405
3.461;-0.425
3.464;-0.425
3.467;-0.405
3.469;-0.395
3.472;-0.405
3.475;-0.405
3.478;-0.415
3.481;-0.405
3.483;-0.385
3.486;-0.390
3.489;-0.395
3.492;-0.395
3.494;-0.395
3.497;-0.395
3.500;-0.385
3.503;-0.390
3.506;-0.390
3.508;-0.400
3.511;-0.425
3.514;-0.410
3.517;-0.400
3.519;-0.395
3.522;-0.400
3.525;-0.405
3.528;-0.425
3.531;-0.415
3.533;-0.405
3.536;-0.405
3.539;-0.405
3.542;-0.410
3.544;-0.415
3.547;-0.405
3.550;-0.420
3.553;-0.405
3.556;-0.410
3.558;-0.410
3.561;-0.420
3.564;-0.415
3.567;-0.405
3.569;-0.395
3.572;-0.395
3.575;-0.395
3.578;-0.400
3.581;-0.395
3.583;-0.395
3.586;-0.405
3.589;-0.405
3.592;-0.420
3.594;-0.435
3.597;-0.415
3.600;-0.405
3.603;-0.395
3.606;-0.390
3.608;-0.415
3.611;-0.405
3.614;-0.405
3.617;-0.400
3.619;-0.395
3.622;-0.395
3.625;-0.405
3.628;-0.420
3.631;-0.415
3.633;-0.400
3.636;-0.395
3.639;-0.400
3.642;-0.405
3.644;-0.425
3.647;-0.425
3.650;-0.425
3.653;-0.420
3.656;-0.425
3.658;-0.450
3.661;-0.445
3.664;-0.450
3.667;-0.435
3.669;-0.445
3.672;-0.470
3.675;-0.455
3.678;-0.460
3.681;-0.440
3.683;-0.435
3.686;-0.425
3.689;-0.430
3.692;-0.445
3.694;-0.450
3.697;-0.445
3.700;-0.430
3.703;-0.420
3.706;-0.410
3.708;-0.425
3.711;-0.420
3.714;-0.405
3.717;-0.380
3.719;-0.370
3.722;-0.365
3.725;-0.365
3.728;-0.365
3.731;-0.345
3.733;-0.330
3.736;-0.315
3.739;-0.305
3.742;-0.305
3.744;-0.320
3.747;-0.310
3.750;-0.310
3.753;-0.305
3.756;-0.310
3.758;-0.315
3.761;-0.320
3.764;-0.315
3.767;-0.305
3.769;-0.305
3.772;-0.295
3.775;-0.310
3.778;-0.320
3.781;-0.310
3.783;-0.315
3.786;-0.295
3.789;-0.300
3.792;-0.305
3.794;-0.300
3.797;-0.285
3.800;-0.280
3.803;-0.290
3.806;-0.295
3.808;-0.305
3.811;-0.325
3.814;-0.305
3.817;-0.300
3.819;-0.300
3.822;-0.315
3.825;-0.325
3.828;-0.335
3.831;-0.325
3.833;-0.315
3.836;-0.320
3.839;-0.335
3.842;-0.330
3.844;-0.340
3.847;-0.325
3.850;-0.325
3.853;-0.320
3.856;-0.315
3.858;-0.335
3.861;-0.335
3.864;-0.345
3.867;-0.335
3.869;-0.325
3.872;-0.330
3.875;-0.315
3.878;-0.335
3.881;-0.330
3.883;-0.330
3.886;-0.330
3.889;-0.330
3.892;-0.335
3.894;-0.340
3.897;-0.330
3.900;-0.320
3.903;-0.315
3.906;-0.325
3.908;-0.335
3.911;-0.355
3.914;-0.345
3.917;-0.340
3.919;-0.335
3.922;-0.320
3.925;-0.325
3.928;-0.350
3.931;-0.330
3.933;-0.315
3.936;-0.315
3.939;-0.330
3.942;-0.330
3.944;-0.335
3.947;-0.335
3.950;-0.330
3.953;-0.330
3.956;-0.330
3.958;-0.340
3.961;-0.340
3.964;-0.340
3.967;-0.325
3.969;-0.325
3.972;-0.325
3.975;-0.345
3.978;-0.350
3.981;-0.340
3.983;-0.330
3.986;-0.320
3.989;-0.310
3.992;-0.305
3.994;-0.305
3.997;-0.275
4.000;-0.270
4.003;-0.255
4.006;-0.260
4.008;-0.265
4.011;-0.260
4.014;-0.250
4.017;-0.235
4.019;-0.235
4.022;-0.220
4.025;-0.235
4.028;-0.235
4.031;-0.220
4.033;-0.230
4.036;-0.225
4.039;-0.235
4.042;-0.245
4.044;-0.255
4.047;-0.240
4.050;-0.230
4.053;-0.230
4.056;-0.250
4.058;-0.255
4.061;-0.250
4.064;-0.230
4.067;-0.205
4.069;-0.195
4.072;-0.210
4.075;-0.230
4.078;-0.270
4.081;-0.270
4.083;-0.285
4.086;-0.285
4.089;-0.310
4.092;-0.330
4.094;-0.340
4.097;-0.340
4.100;-0.345
4.103;-0.350
4.106;-0.350
4.108;-0.340
4.111;-0.355
4.114;-0.345
4.117;-0.340
4.119;-0.340
4.122;-0.345
4.125;-0.355
4.128;-0.370
4.131;-0.355
4.133;-0.370
4.136;-0.345
4.139;-0.340
4.142;-0.360
4.144;-0.380
4.147;-0.360
4.150;-0.345
4.153;-0.350
4.156;-0.350
4.158;-0.355
4.161;-0.380
4.164;-0.390
4.167;-0.395
4.169;-0.425
4.172;-0.455
4.175;-0.475
4.178;-0.510
4.181;-0.545
4.183;-0.540
4.186;-0.495
4.189;-0.405
4.192;-0.295
4.194;-0.160
4.197;0.040
4.200;0.315
4.203;0.595
4.206;0.800
4.208;0.885
4.211;0.795
4.214;0.520
4.217;0.130
4.219;-0.215
4.222;-0.425
4.225;-0.500
4.228;-0.490
4.231;-0.450
4.233;-0.400
4.236;-0.390
4.239;-0.395
4.242;-0.395
4.244;-0.400
4.247;-0.390
4.250;-0.380
4.253;-0.385
4.256;-0.385
4.258;-0.400
4.261;-0.410
4.264;-0.410
4.267;-0.390
4.269;-0.390
4.272;-0.405
4.275;-0.405
4.278;-0.415
4.281;-0.410
4.283;-0.395
4.286;-0.395
4.289;-0.400
4.292;-0.415
4.294;-0.415
4.297;-0.415
4.300;-0.400
4.303;-0.390
4.306;-0.390
4.308;-0.410
4.311;-0.415
4.314;-0.405
4.317;-0.395
4.319;-0.395
4.322;-0.395
4.325;-0.405
